(1, Abate de animais, 400094
(2, Abertura de fechaduras de segurança, 450033
(3, Abrasão, 400001
(4, Abrigo de barcos, 390071
(5, Acabamentos para papel [tratamento], 400006
(6, Academias [educação], 410002
(7, Acetinagem de peles [peleteria], 400071
(8, Acolchoamento, 400092
(9, Acompanhamento de viajantes, 390002
(10, Acondicionamento de peles [peleteria], 400020
(11, Aconselhamento em questões de saúde, 440212
(12, Aconselhamento médico para indivíduos com deficiências, 440215
(13, Administração comercial do licenciamento de produtos e serviços de terceiros, 350096
(14, Administração de imóveis, 360032
(15, Administração de negócios de programas de reembolso para terceiros, 350124
(16, Administração de negócios na área esportiva, 350105
(17, Administração de programas de fidelidade de consumidores, 350131
(18, Administração de programas de viajantes frequentes, 350128
(19, Administração financeira, 360030
(20, Administração legal de licenças, 450223
(21, Administração predial, 360033
(22, Afiação de faca, 370106
(23, Afinação de instrumentos musicais, 370139
(24, Afretamento, 390039
(25, Agenciamento de artistas, 350079
(26, Agências de modelos para publicidade ou promoção de vendas, 350049
(27, Agências de notícias, 410103
(28, Alfaiataria, 400053
(29, Aluguel de acomodações temporárias, 430028
(30, Aluguel de aeronaves, 390102
(31, Aluguel de alarmes de incêndio, 450203
(32, Aluguel de aparelhos de ar condicionado, 400118
(33, Aluguel de aparelhos de cozimento, 430190
(34, Aluguel de aparelhos de fac-símile [fax], 380031
(35, Aluguel de aparelhos de rádio e televisão, 410025
(36, Aluguel de aparelhos de telefones, 380034
(37, Aluguel de aparelhos de transmissão de mensagens, 380029
(38, Aluguel de aparelhos para aquecimento de ambientes, 400119
(39, Aluguel de aparelhos para ar condicionado, 400118
(40, Aluguel de apartamentos, 360035
(41, Aluguel de aquecedores, 400123
(42, Aluguel de armazéns, 390035
(43, Aluguel de barcos, 390012
(44, Aluguel de barracas [tendas], 430189
(45, Aluguel de bombas de drenagem, 370134
(46, Aluguel de brinquedos, 410197
(47, Aluguel de buldôzeres, 370013
(48, Aluguel de cadeiras de rodas, 390092
(49, Aluguel de cadeiras, mesas, toalhas de mesa e artigos de vidro, 430186
(50, Aluguel de câmeras de vídeo, 410088
(51, Aluguel de cartazes/outdoors publicitários, 350125
(52, Aluguel de cavalos, 390019
(53, Aluguel de cenários para palco, 410032
(54, Aluguel de cenários para shows, 410013
(55, Aluguel de cofres, 450215
(56, Aluguel de computadores, 420083
(57, Aluguel de construções transportáveis *, 430160
(58, Aluguel de contêineres de armazenagem, 390080
(59, Aluguel de dispensadores de água potável, 430191
(60, Aluguel de equipamento de áudio, 410085
(61, Aluguel de equipamento de construção, 370020
(62, Aluguel de equipamento de jogos, 410198
(63, Aluguel de equipamento para mergulho, 410065
(64, Aluguel de equipamentos agrícolas, 440084
(65, Aluguel de equipamentos de iluminação*, 430192
(66, Aluguel de equipamentos de limpeza, 370090
(67, Aluguel de equipamentos de telecomunicação, 380033
(68, Aluguel de equipamentos desportivos [exceto veículos], 410066
(69, Aluguel de equipamentos para gravação de som, 410018
(70, Aluguel de equipamentos para iluminação de teatro ou estúdios de televisão, 410086
(71, Aluguel de escavadeiras, 370044
(72, Aluguel de escritórios [imóveis], 360069
(73, Aluguel de espaço publicitário, 350070
(74, Aluguel de estádios, 410067
(75, Aluguel de estande de vendas, 350109
(76, Aluguel de extintores de incêndio, 450204
(77, Aluguel de filmes cinematográficos, 410019
(78, Aluguel de fitas de vídeo, 410069
(79, Aluguel de freezers, 390099
(80, Aluguel de garagem, 390040
(81, Aluguel de geradores, 400104
(82, Aluguel de guindaste, 370120
(83, Aluguel de instalações sanitárias, 440188
(84, Aluguel de máquinas de lavar roupas, 370135
(85, Aluguel de máquinas de tricotar, 400112
(86, Aluguel de máquinas de venda automática, 350089
(87, Aluguel de máquinas e equipamentos de escritório *, 350013
(88, Aluguel de máquinas fotocopiadoras, 350083
(89, Aluguel de máquinas para varrer ruas, 370121
(90, Aluguel de material publicitário, 350035
(91, Aluguel de modems, 380032
(92, Aluguel de motores de aeronaves, 390105
(93, Aluguel de ônibus especiais, 390104
(94, Aluguel de porta-bagagem de teto, 390081
(95, Aluguel de quadras de tênis, 410087
(96, Aluguel de refrigeradores, 390043
(97, Aluguel de roupas, 450081
(98, Aluguel de roupas de mergulho, 390079
(99, Aluguel de salas de reunião, 430187
(100, Aluguel de sinos de imersão, 390078
(101, Aluguel de sistemas de navegação, 390107
(102, Aluguel de software de computador, 420159
(103, Aluguel de tempo de acesso à rede global de computadores, 380041
(104, Aluguel de tempo de publicidade em meios de comunicação, 350087
(105, Aluguel de trajes a rigor, 450046
(106, Aluguel de tratores, 390110
(107, Aluguel de trens, 390045
(108, Aluguel de vaga de garagem, 390042
(109, Aluguel de veículos, 390044
(110, Aluguel de videocassetes, 410068
(111, Análise da água, 420216
(112, Análise da escrita [grafologia], 420211
(113, Análise de custo, 350007
(114, Análise de sistemas [informática], 420177
(115, Análise financeira, 360046
(116, Análise para exploração de campos petrolíferos, 420008
(117, Análises químicas, 420007
(118, Aplainar [serraria], 400050
(119, Aplicação de aviamentos em têxteis, 400005
(120, Apresentação de espetáculos ao vivo, 410056
(121, Apresentação de espetáculos circenses, 410009
(122, Apresentação de espetáculos de variedades, 410027
(123, Apresentação de produtos em meios de comunicação para fins de comércio varejista, 350092
(124, Armazenagem, 390034
(125, Armazenagem de mercadorias, 390028
(126, Armazenagem física de dados ou documentos armazenados eletronicamente, 390094
(127, Armazenamento de informações, 390076
(128, Armazenamento eletrônico de dados, 420226
(129, Aromaterapia, 440193
(130, Asfaltamento, 370005
(131, Asilos para idosos, 430013
(132, Aspersão, aérea ou de superfície, de fertilizantes e outras substâncias químicas agrícolas, 440115
(133, Assentamento de tijolos, 370101
(134, Assessoria em gestão comercial ou industrial, 350025
(135, Assessoria em gestão de negócios, 350001
(136, Assessoria em gestão industrial ou comercial, 350025
(137, Assistência médica, 440087
(138, Assistência veterinária, 440111
(139, Atualização de material publicitário, 350027
(140, Atualização de software de computador, 420140
(141, Atualização e manutenção de dados em bancos de dados de computadores, 350117
(142, Auditoria de energia, 420218
(143, Auditoria em negócios, 350017
(144, Aulas de ginástica, 410021
(145, Aulas particulares, 410202
(146, Autenticação de obras de arte, 420132
(147, Avaliação da qualidade da lã, 420214
(148, Avaliação de antigüidades, 360051
(149, Avaliação de arte, 360052
(150, Avaliação de joias, 360061
(151, Avaliação de madeira em pé [para construção], 350010
(152, Avaliação de qualidade d madeira em pé, 420213
(153, Avaliação de qualidade de madeira em pé, 420213
(154, Avaliação filatélica, 360064
(155, Avaliação financeira [seguros, bancos, imóveis], 360026
(156, Avaliação financeira de lã, 360107
(157, Avaliação financeira de madeira em pé, 360105
(158, Avaliação imobiliária, 360014
(159, Avaliação numismática, 360062
(160, Avaliações de negócios, 350032
(161, Backup de dados off site, 420225
(162, Balanceamento de pneus, 370138
(163, BBS [serviços de telecomunicação], 380036
(164, Borrifação de nuvens, 420202
(165, Branqueamento de tecidos, 400008
(166, Brasagem, 400011
(167, Calandragem de tecidos, 400014
(168, Calibragem [medição], 420136
(169, Câmara de Compensação [bancário], 360021
(170, Captação de financiamento para projetos de construção, 360112
(171, Captação de fundos para caridade, 360015
(172, Captação de patrocínio, 350102
(173, Carregamento de bagagens, 390021
(174, Carregamento de baterias de veículos, 370137
(175, Casas de retiro, 430013
(176, Casas para turistas [alojamento], 430071
(177, Cirurgia de árvores, 440166
(178, Cirurgia plástica, 440156
(179, Coleta de bens recicláveis [transporte], 390111
(180, Colocação de papel de parede, 370064
(181, Colônia de férias, 410055
(182, Colônia de férias [alojamento], 430145
(183, Coloração de vidros de janelas por meio de revestimento da superfície, 400065
(184, Combate ao fogo, 450179
(185, Comerciais de rádio, 350040
(186, Comerciais de televisão, 350044
(187, Comércio, no atacado ou varejo, de preparações sanitárias, farmacêuticas ou veterinárias e suprimentos médicos, 350108
(188, Comparação de Preços, 350091
(189, Compensação [bancário], 360021
(190, Compilação de informação em bancos de dados de computador, 350080
(191, Compilação de informação para bancos de dados de computador, 350080
(192, Compilações de estatísticas, 350100
(193, Composição de canções, 410204
(194, Computação em nuvem, 420229
(195, Comunicação por rádio, 380052
(196, Comunicação por redes de fibra óptica, 380030
(197, Comunicação por telefone celular, 380022
(198, Comunicação por terminais de computador, 380023
(199, Comunicações por telefone, 380010
(200, Comunicações por telegramas, 380008
(201, Condução de cerimônias fúnebres, 450229
(202, Condução de visitas guiadas, 410206
(203, Confecção de horóscopos [mapa astral], 450146
(204, Confecção de roupas, 400012
(205, Congelamento de alimentos, 400117
(206, Conserto de bomba, 370073
(207, Conserto de estofamento, 370017
(208, Conserto de roupas, 370032
(209, Conserto de sapatos, 370025
(210, Conservação de alimentos e bebidas, 400066
(211, Conservação, limpeza e conserto de peles [de animais], 370048
(212, Construção *, 370029
(213, Construção de fábricas, 370052
(214, Construção de portos, 370074
(215, Construção de quebra-mar, 370061
(216, Construção e manutenção de oleoduto, 370063
(217, Construção e reparos de armazém, 370041
(218, Construção naval, 370021
(219, Construção subaquática, 370030
(220, Consultoria astrológica, 450224
(221, Consultoria em arquitetura, 420036
(222, Consultoria em design de websites, 420219
(223, Consultoria em design e desenvolvimento de hardware de computador, 420141
(224, Consultoria em farmacêutica, 440154
(225, Consultoria em gestão de negócios, 350048
(226, Consultoria em gestão de negócios, 350020
(227, Consultoria em gestão de pessoal, 350019
(228, Consultoria em gestão e organização de negócios, 350018
(229, Consultoria em hardware de computador, 420141
(230, Consultoria em organização de negócios, 350036
(231, Consultoria em propriedade intelectual, 450206
(232, Consultoria em segurança, 450117
(233, Consultoria em segurança de computadores, 420235
(234, Consultoria em seguros, 360055
(235, Consultoria em tecnologia da computação, 420232
(236, Consultoria em tecnologia da informação, 420221
(237, Consultoria em tecnologia das telecomunicações, 420233
(238, Consultoria espiritual, 450225
(239, Consultoria financeira, 360054
(240, Consultoria fiscal, 360025
(241, Consultoria na área de construção civil, 370131
(242, Consultoria na área de economia de energia, 420207
(243, Consultoria profissional em negócios, 350062
(244, Consultoria tecnológica, 420231
(245, Contabilidade, 350015
(246, Controle de qualidade, 420157
(247, Conversão de dados e documentos de suporte físico para suporte eletrônico, 420198
(248, Conversão de dados e programas de computador [exceto conversão física], 420203
(249, Copiagem de chaves, 400108
(250, Corretagem *, 360005
(251, Corretagem de ações e títulos, 360116
(252, Corretagem de seguros, 360010
(253, Corretagem de transporte, 390073
(254, Corretagem de valores, 360043
(255, Corretagem imobiliária, 360008
(256, Corretagem marítima, 390023
(257, Corte de tecidos, 400021
(258, Cotações de bolsa de valores, 360067
(259, Cozimento de cerâmica, 400015
(260, Criação de animais, 440009
(261, Criação e manutenção de web sites para terceiros, 420199
(262, Cromagem, 400017
(263, Cronometragem de eventos desportivos, 410073
(264, Cuidados paliativos, 440218
(265, Cursos por correspondência, 410011
(266, Curtimento, 400054
(267, Dama de companhia, 450002
(268, Debruar roupas, 400010
(269, Decapagem, 400095
(270, Decoração de interiores, 420048
(271, Decoração de vitrines, 350046
(272, Defumação de alimentos, 400033
(273, Demolição de edificações, 370036
(274, Demonstração de produtos, 350023
(275, Depilação com cera, 440213
(276, Depósito, 390034
(277, Depósitos de objetos de valor, 360066
(278, Derrubada e processamento de madeira, 400067
(279, Descarregamento [carga], 390026
(280, Descontaminação de materiais perigosos, 400109
(281, Desconto de títulos [factoring], 360027
(282, Desencalhe de navios, 390055
(283, Desenhista de moda, 420142
(284, Desenho de plantas para construção, 420038
(285, Desenho industrial, 420049
(286, Design de interiores, 420237
(287, Design de material publicitário, 350121
(288, Desinfecção, 370038
(289, Desodorizar o ar, 400081
(290, Desratização, 370076
(291, Destruição de ervas daninhas, 440171
(292, Destruição de lixo e resíduos, 400105
(293, Devolução de objetos perdidos, 450200
(294, Digitação, 350022
(295, Digitalização de documentos [scanning], 420210
(296, Distribuição de água, 390030
(297, Distribuição de amostras, 350028
(298, Distribuição de eletricidade, 390031
(299, Distribuição de energia, 390090
(300, Distribuição de material publicitário, 350008
(301, Douração, 400024
(302, Dublagem, 410079
(303, Duplicação de programas de computador, 420197
(304, Edição de videoteipe, 410090
(305, Editoração eletrônica, 410092
(306, Educação física, 410012
(307, Educação religiosa, 410080
(308, Elaboração [concepção] de software de computador, 420139
(309, Elaboração de roteiros [roteirização], 410205
(310, Elaboração de textos técnicos, 420236
(311, Elaboração de currículos para terceiros, 350126
(312, Embalagem de mercadorias, 390086
(313, Embalagem de pacotes, 390022
(314, Embalagem de presentes, 390109
(315, Embalsamamento, 450220
(316, Emissão de cartões de crédito, 360068
(317, Emissão de cheques de viagem, 360020
(318, Emissão de títulos de valor, 360065
(319, Empréstimos [financiamento], 360024
(320, Empréstimos a prazo, 360002
(321, Empréstimos de livros [biblioteca], 410023
(322, Encadernação, 400049
(323, Enfermagem [médica], 440153
(324, Engenharia, 420064
(325, Ensino em escolas em regime de internato, 410075
(326, Entrega de flores, 390096
(327, Entrega de jornais, 390088
(328, Entrega de mensagens, 390087
(329, Entrega de mercadorias, 390027
(330, Entrega de mercadorias por catálogo, 390089
(331, Entrega de pacotes, 390020
(332, Envernizamento, 370086
(333, Escolas de enfermagem, 410058
(334, Escrita de cartas pessoais, 450228
(335, Escultura em alimentos, 430193
(336, Esmerilhamento, 400041
(337, Especialistas em eficiência de negócios, 350029
(338, Estacionamento de carros, 390033
(339, Estanhagem, 400027
(340, Estilismo [desenho industrial], 420165
(341, Estilista, 420142
(342, Estivagem, 390093
(343, Estofamento de móveis, 370067
(344, Estudos de marketing, 350031
(345, Estudos para projetos técnicos, 420061
(346, Exames pedagógicos [avaliação], 410049
(347, Expedição de frete, 390060
(348, Experimentos clínicos, 420224
(349, Explorações subaquáticas, 420167
(350, Exterminação de animais nocivos exceto para agricultura, 370091
(351, Exterminação de animais nocivos, exceto para agricultura, 370091
(352, "Extermínio de animais nocivos [para agricultura, horticultura e
(silvicultura]", 440168
(353, Extração de pedras [pedreira], 370108
(354, Extração de suco de frutas, 400032
(355, Extração mineral, 370107
(356, Fabricação de coroas [funerárias], 440037
(357, Faturamento, 350098
(358, Fertilização in vitro, 440196
(359, Fianças [garantias], 360018
(360, Filmagem em vídeo, 410106
(361, Financiamento de leasing, 360042
(362, Fisioterapia, 440097
(363, Folheamento a ouro, 400085
(364, Fornecimento de acesso a banco de dados, 380044
(365, Fornecimento de água, 390003
(366, Fornecimento de conexões de telecomunicações para uma rede mundial de computadores, 380037
(367, Fornecimento de fóruns online, 380050
(368, fornecimento de descontos a estabelecimentos de terceiros através do uso de cartão de associado, 360117
(369, Fornecimento de informações sobre contatos comerciais e de negócios, 350110
(370, Fornecimento de mecanismos de busca para a internet, 420209
(371, Fornecimento de orientação de rotas para viagens, 390108
(372, Fotografia, 410101
(373, Fotogravura [serviço], 400090
(374, Franqueamento de correspondência, 390097
(375, Fresagem, 400031
(376, Frete [transporte de mercadorias], 390038
(377, Fundição de metal, 400100
(378, Fundos de investimentos, 360115
(379, Fundos de pensão [aposentadoria], 360070
(380, Fundos mútuos, 360016
(381, Galvanização, 400034
(382, Galvanoplastia, 400026
(383, Garantias [fianças], 360018
(384, Gestão administrativa terceirizada para empresas, 350122
(385, Gestão computadorizada de arquivos, 350061
(386, Gestão de direitos autorais, 450207
(387, Gestão de negócios para provedores de serviços freelance, 350115
(388, Gestão financeira de pagamento de reembolsos para terceiros, 360114
(389, Gravação [entalhe], 400035
(390, Guarda-costas [segurança], 450001
(391, Guarda-livro [contabilidade], 350015
(392, Guardas [vigilância, segurança], 450099
(393, Horticultura, 440072
(394, Hospedagem de servidores, 420223
(395, Hospedagem de web sites, 420200
(396, Ignifugação de tecidos, 400037
(397, Ignifugação de têxteis, 400037
(398, Impermeabilização de edificações, 370042
(399, Impermeabilização de tecidos, 400036
(400, Implante de cabelos, 440180
(401, Impressão, 400111
(402, Impressão de estampas, 400022
(403, Impressão fotográfica, 400089
(404, Impressão litográfica, 400110
(405, Impressão ofsete, 400113
(406, Incineração de lixo e resíduos, 400106
(407, Indexação na web para fins comerciais ou publicitários, 350127
(408, Informação comercial e aconselhamento a consumidores, 350093
(409, Informação sobre construção, 370104
(410, Informação sobre processamento de materiais, 400087
(411, Informação sobre reparos, 370105
(412, Informação sobre tráfego, 390098
(413, Informação sobre tratamento de materiais, 400087
(414, Informações de negócios, 350065
(415, Informações financeiras, 360059
(416, Informações meteorológicas, 420076
(417, Informações sobre educação [instrução], 410048
(418, Informações sobre entretenimento [lazer], 410050
(419, Informações sobre recreação, 410064
(420, Informações sobre seguros, 360060
(421, Informações sobre telecomunicação, 380027
(422, Informações sobre telecomunicações, 380027
(423, Informações sobre transportes, 390077
(424, Inseminação artificial, 440194
(425, Inspeção de fábricas para fins de segurança, 450202
(426, Instalação de cabos, 370140
(427, Instalação de equipamentos de cozinha, 370035
(428, Instalação de portas e janelas, 370128
(429, Instalação de software de computador, 420201
(430, Instalação e reparo de alarme antifurto, 370016
(431, Instalação e reparo de alarmes de incêndio, 370015
(432, Instalação e reparo de aparelhos de ar-condicionado, 370028
(433, Instalação e reparo de aparelhos elétricos, 370003
(434, Instalação e reparo de dispositivos de irrigação, 370053
(435, Instalação e reparo de elevadores, 370004
(436, Instalação e reparo de equipamentos de aquecimento, 370024
(437, Instalação e reparo de equipamentos de refrigeração, 370078
(438, Instalação e reparo de fornos, 370047
(439, Instalação e reparo telefones, 370084
(440, Instalação, manutenção e reparo de computadores, 370116
(441, Instalação, manutenção e reparo de máquinas, 370058
(442, Instalação, manutenção e reparo de máquinas e equipamentos de escritório, 370014
(443, Intermediação de créditos de carbono, 360104
(444, Interpretação de linguagem de sinais, 410105
(445, Investigações de pessoas desaparecidas, 450053
(446, Investimentos de capital [finanças], 360017
(447, Jardinagem, 440077
(448, Jardinagem paisagística, 440012
(449, Laminação, 400040
(450, Lançamento de satélite para terceiros, 390095
(451, Lavagem, 370057
(452, Lavagem a seco, 370103
(453, Lavagem de fraldas, 370102
(454, Lavagem de roupa, 370010
(455, Lavagem de roupa, 370056
(456, Lavagem de veículos, 370055
(457, Legendagem, 410093
(458, Leilões, 350030
(459, Levantamento de informações de negócios, 350033
(460, Levantamentos de informações de negócios, 350002
(461, Levantamentos de informações de negócios, 350033
(462, Levantamentos em campos petrolíferos, 420063
(463, Levantamentos geodésicos, 420193
(464, Levantamentos geológicos, 420062
(465, Levantamentos topográficos, 420079
(466, Licenciamento de programa de computador [serviços jurídicos], 450212
(467, Licenciamento de propriedade intelectual, 450208
(468, Limpeza de chaminé, 370026
(469, Limpeza de fachada de edificações, 370112
(470, Limpeza de fachada de edificações, 370112
(471, Limpeza de interiores de edifícios, 370009
(472, Limpeza de janelas, 370045
(473, Limpeza de roupas, 370050
(474, Limpeza de rua, 370124
(475, Limpeza de veículo, 370087
(476, Limpeza e reparo de caldeira, 370011
(477, Lixamento [areamento], 370110
(478, Locação de automóveis, 390008
(479, Locação de caminhões, 390046
(480, Locação de carros de corrida, 390091
(481, Locação de equipamentos médicos, 440208
(482, Locação de espaços para prática de esporte, 410190
(483, Locação de fazendas, 360036
(484, Locação de imóveis, 360004
(485, Lubrificação de veículos, 370049
(486, Lustração de peles [peleteria], 400070
(487, Magnetização, 400004
(488, Manicure, 440151
(489, Manutenção de aparelhos fotográficos, 370002
(490, Manutenção de gramados, 440148
(491, Manutenção de mobiliário, 370001
(492, Manutenção de piscinas, 370129
(493, Manutenção de software de computador, 420176
(494, Manutenção de veículos, 370085
(495, Manutenção e reparo de aeronaves, 370008
(496, Manutenção e reparo de automóveis, 370006
(497, Manutenção e reparo de caixas-fortes, 370018
(498, Manutenção e reparo de cofre, 370027
(499, Manutenção e reparo de queimadores, 370012
(500, Marketing, 350106
(501, Massagem, 440086
(502, Mediação, 450201
(503, Metalizar, 400018
(504, Microfilmagem, 410182
(505, Mineração, 370107
(506, Moagem de farinha, 400044
(507, Moagem farinha, 400044
(508, Modelagem de peles sob encomenda [peleteria], 400028
(509, Molduragem de obras de arte, 400084
